stock_code,date,open,high,low,close,volume,amount
STOCK_001,2024-06-18,96.78243706051887,97.61080382683758,92.44806933656481,94.29197530423703,6688489,630670839.610661
STOCK_001,2024-06-19,93.88492802990437,96.71237040980313,92.12930304430989,95.73549340926866,7544993,722323627.6244781
STOCK_001,2024-06-20,94.87243595098941,98.63846117044716,92.9392366980797,97.56512260143266,2664516,259963830.21347895
STOCK_001,2024-06-21,95.82971488431565,96.13111615169845,92.73635005924507,93.78733239059868,275923,25878082.11521116
STOCK_001,2024-06-24,93.48149442746703,93.69585609228756,89.49849253914297,91.37290974546941,7841245,716477371.6771133
STOCK_001,2024-06-25,92.69987192023338,94.24677767982713,91.08241577098843,91.63394461080165,4850844,444501970.4116395
STOCK_001,2024-06-26,91.87304557826211,93.37865585456588,90.26028121123058,91.08186367037713,2052260,186923665.53616816
STOCK_001,2024-06-27,90.77606235034705,92.58800454402686,90.3758407303287,91.07858261473204,6134368,558709542.6771686
STOCK_001,2024-06-28,91.33273569243275,91.37786878063433,88.50542086737418,89.55202555288635,7240777,648426246.9267517
STOCK_001,2024-07-01,88.71330365900025,91.89807924807438,87.84378016347286,91.15392855887366,2349979,214209817.88085335
STOCK_001,2024-07-02,90.99131540350032,93.05717663793567,90.44325852252756,92.59925054775648,6180381,572298648.6995938
STOCK_001,2024-07-03,92.65451978444234,94.55364353220952,90.9131227695177,92.74931818506708,6321689,586332344.5280385
STOCK_001,2024-07-04,92.70140352455692,96.90932061459719,91.97405261789689,94.86816004805054,4063303,385478079.3277239
STOCK_001,2024-07-05,95.3182939783674,96.37435422504244,94.66821289488209,95.78365551815948,5095604,488075578.1929555
STOCK_001,2024-07-08,95.9817237959141,97.58425663346112,93.85813080317712,94.16626714973174,2229207,209916101.89405203
STOCK_001,2024-07-09,94.54386974791738,95.19587238616825,93.50667220247432,94.88899472678838,7440384,706010558.1412807
STOCK_001,2024-07-10,94.49708100363641,95.14710876613991,92.39258045021327,93.09771330413298,7866520,732355023.6612282
STOCK_001,2024-07-11,93.5992206730864,95.08975383197453,92.73512941895513,94.7612769041849,7849938,743870148.4986833
STOCK_001,2024-07-12,95.68743777510443,96.36567216790226,94.13638990804047,94.6950844257429,5923287,560906162.5429054
STOCK_001,2024-07-15,94.143874081729,95.96531105368983,92.34771372326937,94.37338180860941,434534,41008443.09082228
STOCK_001,2024-07-16,93.87073276232985,96.00705911513879,90.95149582694579,93.11646134557608,2994995,278883336.14769363
STOCK_001,2024-07-17,93.86276240869002,95.9042938817813,92.69433092883897,95.42117075009993,3615008,344948295.6309773
STOCK_001,2024-07-18,95.31162114674132,96.60328193701166,93.62527832269,95.15488941943673,7682754,731051607.3067352
STOCK_001,2024-07-19,95.95637223539713,97.63894587523488,92.32244711658167,94.36828615519859,4421203,417221349.8542225
STOCK_001,2024-07-22,94.11771813503617,96.35989034237285,91.39143456229881,93.73199184789877,4335734,406396983.94265753
STOCK_001,2024-07-23,94.55029776845873,96.20320222282147,93.10009361053214,94.7579994502701,1259271,119326000.72574109
STOCK_001,2024-07-24,94.83275544800952,96.08793569739828,92.72324948418363,95.47900181910751,6370391,608238573.8774261
STOCK_001,2024-07-25,95.62693440085815,97.80156432938148,93.45474887112178,96.2957914751208,2756658,265454563.93622354
STOCK_001,2024-07-26,97.19984603711333,97.9786383263973,95.23208023833485,97.15440520193832,825788,80228941.96289824
STOCK_001,2024-07-29,96.94351962860405,103.81810385413112,95.82641184465565,101.34496149979347,7902414,800869842.585429
